,symbol,percent_diff,min,max,avg
0,NIFTY 50,16.4260032633658,-0.5541878575797489,26.40357621301441,12.517628522944834
1,NIFTY MIDCAP 100,29.209980633202903,-0.6315543479322439,37.00628265079107,19.854367652456418
2,NIFTY BANK,11.062859822861348,-2.671803616089105,37.349239994697484,13.378527793464572
3,NIFTY 100,18.847953998431535,-0.5379365358234199,26.532392288401784,12.613751047537678
4,NIFTY DIV OPPS 50,27.218095631315826,-0.42103454201751705,30.355174062512525,15.050129271577491
5,NIFTY COMMODITIES,23.94109062606766,-0.3886365005632029,38.34884222071038,17.809913127559337
6,NIFTY CONSUMPTION,24.028787134910402,-0.3464504575845695,25.056726325082394,12.036921619133969
7,NIFTY FIN SERVICE,12.23742440583214,-3.319991695330356,33.29197546211333,11.505215349594062
8,NIFTY IT,15.857013651996906,-6.459963419481952,43.99800863953495,14.246509188157207
9,NIFTY MIDCAP 50,29.551179571945674,-0.9564974147498795,36.65078462480894,19.91507457955456
10,NIFTY REALTY,35.82222417538124,-5.35334041521347,58.553907416547446,24.419745418494905
11,NIFTY INFRA,27.287585417053318,-0.21279485670302095,34.194771286342316,15.933887805849
12,NIFTY ENERGY,28.123771394388648,-5.562469507039859,39.83995144084206,15.478391811828844
13,NIFTY FMCG,17.638903895199316,-2.084056157207807,20.543967419115777,10.235147130364222
14,NIFTY MNC,24.502412754059907,-0.1438311061379365,28.91190527072796,11.28097011940609
15,NIFTY PHARMA,28.296205681466187,-7.266742403885483,28.296205681466187,10.050509848661322
16,NIFTY PSE,44.81621855664044,-8.647586320923107,58.91603915982723,21.01171708664215
17,NIFTY PSU BANK,24.97918301312236,-9.632954503402246,52.21448240503656,25.283006090894034
18,NIFTY SERV SECTOR,14.801868855312541,-1.16431020927235,30.986848901077035,11.708636552886055
19,NIFTY AUTO,34.242247811358475,-1.2263659567211471,41.09197752934664,18.100166848734673
20,NIFTY METAL,19.51280505307031,-0.8820187490785163,70.88094334185291,25.143444143051585
21,NIFTY MEDIA,1.8585292088754004,-11.879273858812693,35.402984617941,7.21085821701605
22,NIFTY 200,20.408014954770344,-0.5480638430953941,27.812460162362306,13.560077647156115
23,NIFTY50 DIV POINT,19.71133269373415,-84.20789335397555,127.87388377952334,32.98700624893005
24,NIFTY200 QUALTY30,22.549161953285157,-0.4249961575638814,25.15429283675547,11.598150117890329
25,NIFTY ALPHA 50,34.944461452343944,-9.06902022708906,44.64906222863549,20.609870255414304
26,NIFTY MIDCAP 150,28.596961947898226,-0.7309646673216991,35.59292608439179,19.42640926704556
27,NIFTY MIDSML 400,28.843906095351524,-0.613013321218584,37.160765789528725,20.147734014622998
28,NIFTY SMLCAP 50,30.55226487336497,-9.547386206003987,47.2542729292078,19.9778576912136
29,NIFTY SMLCAP 100,29.413113140279133,-5.37221592828384,44.5206061823175,20.306003421625356
30,NIFTY SMLCAP 250,29.26593492041883,-0.33788658238740005,45.2986209834744,21.70841441680186
31,NIFTY50 VALUE 20,21.29443109598154,-0.30551585597709574,29.12875839451141,14.678862415757182
32,NIFTY100 LIQ 15,17.74652767569885,-0.7614158107632768,29.36768790395296,14.149990982660999
33,NIFTY 500,21.413507835647817,-0.5519376659338894,28.743799589224366,14.286418793489737
34,NIFTY CPSE,48.53785839316571,-8.03889315549307,57.74615498250516,22.76566395377743
35,NIFTY GS 4 8YR,6.2300442215828244,-0.5023097605387135,6.23403741027512,2.894638262745982
36,NIFTY GS 8 13YR,6.431020063187841,-1.6641552944996858,6.4363632398113655,2.536700189607193
37,NIFTY GS 10YR,6.385231697785529,-2.498379046063269,6.38695387456947,1.968372855246568
38,NIFTY GS 10YR CLN,0.7143280819053521,-6.967090116218025,0.7143280819053521,-2.1825591931697312
39,NIFTY GS 11 15YR,7.332815637358868,-1.2312155642543927,7.366199780689923,2.8749840388078582
40,NIFTY GS 15YRPLUS,8.15133826532659,-2.6885692374250056,8.26049288213145,2.802997658122101
41,NIFTY GS COMPSITE,3.73307426161483,0.0,3.73307426161483,1.8270544897637815
42,NIFTY GROWSECT 15,17.037730875183662,0.0,17.5961039282184,9.252552958676628
43,NIFTY MID LIQ 15,30.006436169377217,-1.0854452915226638,38.910700257370166,19.73169862413581
44,NIFTY NEXT 50,31.509664160916127,-5.084650435165748,36.86210492282592,13.767295720290281
45,NIFTY PVT BANK,9.334339261004542,-2.969595717151808,34.33530544546102,11.737893407497157
46,NIFTY50 EQL WGT,21.329772841414783,0.0,23.9270087172789,13.074285131886725
47,NIFTY100 EQL WGT,25.91918241065529,-1.6070898165821048,28.86960175171967,14.622926023635678
48,NIFTY100 LOWVOL30,20.52628274826662,-0.3467454695458427,23.98438978470907,12.34419050921766
49,NIFTY100 QUALTY30,21.586141590436156,-0.5143470635352442,24.136056230919422,11.898730979076598
50,NIFTY ALPHALOWVOL,27.142372685889455,-1.3759432306227222,29.828012672386183,13.80574067733685
51,NIFTY MID SELECT,27.1606645600231,-1.12303396305216,38.57934082453582,17.900832535210284
52,NIFTY FINSRV25 50,17.186927197786886,-3.302158531113665,31.769055760845887,12.577977924490856
53,NIFTY HEALTHCARE,27.777744531997534,-5.63421111074194,27.949335410422005,11.459055612048326
54,NIFTY CONSR DURBL,22.94996152694675,-3.21375052639349,40.482496966197466,15.441232842346453
55,NIFTY OIL AND GAS,29.114616365780815,-3.4363289480895753,42.15703364204442,15.387353985624772
56,NIFTY500 MULTICAP,24.067173632019003,-0.5362998698988733,32.556591414763716,16.71631575604951
57,NIFTY LARGEMID250,23.831895989719587,-0.21410474675418972,29.69131521424742,15.315350593682636
58,NIFTY100ESGSECLDR,21.57114472277093,-0.7591776477336406,25.03392339076327,12.73435234733663
59,NIFTY200MOMENTM30,30.15324846608986,-3.998995827716398,36.43919458885628,17.14073470141858
60,NIFTY TOTAL MKT,21.892347791682706,-0.5541277749173394,29.119376352069214,14.594430734083778
61,NIFTY MICROCAP250,36.41093386061033,-0.8560357917785869,62.3338581726326,28.035784748444545
62,NIFTY M150 QLTY50,28.46345265834668,-2.9092642379193365,32.13708339392053,14.218075586223714
63,NIFTY INDIA MFG,30.92949196071302,-0.26209400723835447,36.47790529005577,17.296742642252077
64,NIFTY IND DIGITAL,24.63903938492044,-7.872598885005473,42.180725987840695,14.031317745454178
65,NIFTY100 ESG,19.110786232691964,-2.802031514975761,28.865886276441188,12.534692413944121
66,NIFTY200 ALPHA 30,36.92270503375277,-6.965373843467551,42.364238501036425,19.211312835239642
67,NIFTYM150MOMNTM50,31.8559516572586,-0.15866992672758778,44.86598421400087,22.610738304391777
68,NIFTY TATA 25 CAP,30.89608841249071,-0.8134321811157595,46.802984342044105,21.60129824703503
69,NIFTY MULTI MFG,29.496015946470948,-0.3948834071761117,35.142636563029,18.86949545057576
70,NIFTY MULTI INFRA,29.005892050715854,-0.4932443224524044,33.73728236369163,18.884333912216395
71,NIFTY MIDSML HLTH,29.8417621023131,-8.89566542129711,31.32648881637393,12.494500156613121
72,BANKNIFTY1,11.747383702238153,-2.623717748610336,37.39763194187834,13.619430756385464
73,NIFTYETF,17.450897458800654,-0.3733188945363735,27.21518400344771,13.316401733070748
74,NIFTY50ADD,16.545488364151947,-7.39056798150569,18.605906031110944,5.552243038250473
75,NIFTYBEES,17.515830014909792,-0.46689015866120337,27.214259182255553,13.27070431231958
76,NIFTYQLITY,22.867913836652843,-3.02523714949808,24.373365397921358,8.373529807832035
77,HDFCNIFTY,17.361536882352766,-0.31753232025403133,27.55432787949091,13.416916644331584
78,QNIFTY,17.335606772780793,-0.4502150580857702,27.295281754063744,13.33920931725203
79,NIFTY1,17.41823760168961,-0.5030033308586546,27.168641566931882,13.212388311269448
80,NAVINIFTY,14.11259752647958,-0.7202054183847156,15.06439551464542,7.969008143043969
81,IDFNIFTYET,16.522986344875534,0.0,27.02897088433116,13.362705963325007
82,MONIFTY500,17.359910180746567,-1.0570376507722168,19.515893270036518,10.40950486787871
83,AXISNIFTY,17.30656385655614,-1.5494645888981684,26.598753902443285,12.55126988291654
84,NIFTYBETF,9.147021476898518,0.0,10.519887747438968,4.711989279134127
85,IVZINNIFTY,17.45380177307289,0.0,27.654735370531764,13.339804083216247
86,BSLNIFTY,17.504683825690396,-0.2625902654037286,27.10306322360675,13.180472708632193
87,NIFTYIETF,17.517075406364828,-0.36916586094751475,27.39849160302989,13.294843828930178
